woche;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-04-13;Barmenia;;ChatGPT;ui_mixed;0.0389;0.0206;87;61;4.9;70;1800;17.488670349121094;82;326;66;kw_0e2665be-83a3-4949-82da-c819c80811eb;;openai-0
2026-04-13;Barmenia;;Gemini;grounded;0.055;0.0324;129;62;3.6;99;1800;25.970115661621094;110;298;82;kw_0e2665be-83a3-4949-82da-c819c80811eb;;google-2
2026-04-13;Barmenia;;Perplexity;grounded;0.0141;0.0119;29;54;4.1;23;1635;1.639556884765625;22;66;16;kw_0e2665be-83a3-4949-82da-c819c80811eb;;perplexity-0
2026-04-13;CosmosDirekt;;AI Mode;grounded;0.0922;0.0443;240;50;2.8;166;1800;-0.6246871948242188;282;449;160;kw_416a8247-b080-4eab-b6c8-321a4b64165d;;google-1
2026-04-13;CosmosDirekt;;AI Overview;grounded;0.0607;0.0277;118;54;3.6;99;1631;12.631416320800781;147;354;99;kw_416a8247-b080-4eab-b6c8-321a4b64165d;;google-0
2026-04-13;CosmosDirekt;;ChatGPT;ui_mixed;0.0467;0.0254;107;59;4.4;84;1800;21.50946807861328;119;360;81;kw_416a8247-b080-4eab-b6c8-321a4b64165d;;openai-0
2026-04-13;CosmosDirekt;;Gemini;grounded;0.065;0.0344;137;58;3.7;117;1800;22.69774627685547;134;417;112;kw_416a8247-b080-4eab-b6c8-321a4b64165d;;google-2
2026-04-13;CosmosDirekt;;Perplexity;grounded;0.0257;0.0272;66;55;3.2;42;1635;6.628082275390625;64;135;42;kw_416a8247-b080-4eab-b6c8-321a4b64165d;;perplexity-0
2026-04-13;DA Direkt;;AI Mode;grounded;0.0122;0.0042;23;57;4.2;22;1800;2.7764968872070312;20;83;20;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;;google-1
2026-04-13;DA Direkt;;AI Overview;grounded;0.0129;0.0061;26;53;4.1;21;1631;1.514190673828125;25;82;20;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;;google-0
2026-04-13;DA Direkt;;ChatGPT;ui_mixed;0.005;0.0026;11;65;5.2;9;1800;1.7788619995117188;6;31;6;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;;openai-0
2026-04-13;DA Direkt;;Gemini;grounded;0.0033;0.0015;6;60;6.2;6;1800;1.2582550048828125;6;31;5;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;;google-2
2026-04-13;DA Direkt;;Perplexity;grounded;0.0116;0.0103;25;57;3.7;19;1635;2.1212997436523438;16;48;13;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;;perplexity-0
2026-04-13;DEVK;;AI Mode;grounded;0.0539;0.0275;149;49;3;97;1800;-1.9353103637695312;147;273;90;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;;google-1
2026-04-13;DEVK;;AI Overview;grounded;0.0582;0.0258;110;51;2.9;95;1631;2.2823333740234375;119;271;92;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;;google-0
2026-04-13;DEVK;;ChatGPT;ui_mixed;0.0606;0.0313;132;60;3.5;109;1800;25.810195922851562;131;362;104;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;;openai-0
2026-04-13;DEVK;;Gemini;grounded;0.0167;0.0096;38;55;3.6;30;1800;3.1733474731445312;33;105;29;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;;google-2
2026-04-13;DEVK;;Perplexity;grounded;0.0226;0.0267;65;53;2.2;37;1635;3.3459625244140625;58;79;36;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;;perplexity-0
