datum;marke;tag;gruppe;share_of_voice;visibility;mention_count;sentiment;position;brand_id;tag_id
2026-07-17;ADAC;Consideration;;0.0386;0.1135;177;57;3.5;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;ARAG;Consideration;;0.0316;0.1135;145;54;3.8;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;AXA;Consideration;;0.0465;0.1735;213;51;4.2;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Allianz;Consideration;;0.199;0.6148;912;52;2.8;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Alte Leipziger;Consideration;;0.026;0.111;119;54;3.9;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Barmenia;Consideration;;0.0377;0.1569;173;55;3.8;kw_0e2665be-83a3-4949-82da-c819c80811eb;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;CosmosDirekt;Consideration;;0.0469;0.1696;215;55;4.3;kw_416a8247-b080-4eab-b6c8-321a4b64165d;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;DA Direkt;Consideration;;0.0146;0.0497;67;52;5.1;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;DEVK;Consideration;;0.0225;0.0855;103;54;5.1;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;DKV;Consideration;;0.019;0.0651;87;51;4.2;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Debeka;Consideration;;0.0109;0.0472;50;53;6.3;kw_f2523300-5701-448f-bdc2-826cacdc7496;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Die Bayerische;Consideration;;0.0185;0.0753;85;50;4.6;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;ERGO;Consideration;;0.0692;0.2538;317;51;4.1;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Generali;Consideration;;0.0061;0.0268;28;50;6.6;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Gothaer;Consideration;;0.0131;0.0676;60;53;6;kw_37880128-3d28-46fe-9f61-d6c869e2d032;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;HDI;Consideration;;0.0161;0.0663;74;55;4.4;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;HUK-Coburg;Consideration;;0.1348;0.3559;618;54;3.5;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Haftpflichtkasse;Consideration;;0.0229;0.0957;105;56;3.6;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Hannoversche;Consideration;;0.0238;0.0829;109;53;3.6;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;HanseMerkur;Consideration;;0.0223;0.0842;102;50;4;kw_b1155354-e344-4376-96a5-8ca40a83f686;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;LV 1871;Consideration;;0.0351;0.125;161;53;3.6;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;LVM;Consideration;;0.0159;0.0459;73;52;4.9;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;R+V;Consideration;;0.0129;0.0548;59;53;6;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Signal Iduna;Consideration;;0.0181;0.0791;83;48;5.7;kw_80da741d-9a64-4086-95c0-eb9701df02f8;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;VHV;Consideration;;0.0295;0.1224;135;51;5.1;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;WGV;Consideration;;0.0194;0.0765;89;61;4.6;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Württembergische;Consideration;;0.0194;0.0906;89;50;5.5;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;Zurich;Consideration;;0.0297;0.1059;136;50;4.8;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;tg_ee49b2f1-fc73-464a-aa9a-d0f635b45826
2026-07-17;ADAC;Corporate Trust;;0.0161;0.1333;3;84;5;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;ARAG;Corporate Trust;;0.0269;0.2667;5;73;6.5;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;AXA;Corporate Trust;;0.0108;0.0667;2;47;8;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Allianz;Corporate Trust;;0.2366;0.9333;44;52;1.7;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Alte Leipziger;Corporate Trust;;0.0484;0.3333;9;44;6.2;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Barmenia;Corporate Trust;;0.0054;0.0667;1;50;9;kw_0e2665be-83a3-4949-82da-c819c80811eb;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;CosmosDirekt;Corporate Trust;;0.0054;0.0667;1;88;9;kw_416a8247-b080-4eab-b6c8-321a4b64165d;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;DA Direkt;Corporate Trust;;0;0;0;;;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;DEVK;Corporate Trust;;0.0161;0.2;3;55;8;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;DKV;Corporate Trust;;0;0;0;;;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Debeka;Corporate Trust;;0.1505;0.6;28;51;4.2;kw_f2523300-5701-448f-bdc2-826cacdc7496;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Die Bayerische;Corporate Trust;;0.0054;0.0667;1;86;5;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;ERGO;Corporate Trust;;0.0269;0.1333;5;51;5;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Generali;Corporate Trust;;0.0161;0.0667;3;46;11;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Gothaer;Corporate Trust;;0;0;0;;;kw_37880128-3d28-46fe-9f61-d6c869e2d032;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;HDI;Corporate Trust;;0.0215;0.2;4;52;5;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;HUK-Coburg;Corporate Trust;;0.1452;0.7333;27;63;3.6;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Haftpflichtkasse;Corporate Trust;;0.0108;0.1333;2;46;8;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Hannoversche;Corporate Trust;;0.0054;0.0667;1;62;6;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;HanseMerkur;Corporate Trust;;0;0;0;;;kw_b1155354-e344-4376-96a5-8ca40a83f686;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;LV 1871;Corporate Trust;;0.0108;0.0667;2;42;5;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;LVM;Corporate Trust;;0.1075;0.6;20;54;4.8;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;R+V;Corporate Trust;;0.1129;0.7333;21;64;4.3;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Signal Iduna;Corporate Trust;;0.0054;0.0667;1;17;6;kw_80da741d-9a64-4086-95c0-eb9701df02f8;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;VHV;Corporate Trust;;0.0108;0.1333;2;54;6.5;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;WGV;Corporate Trust;;0;0;0;;;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Württembergische;Corporate Trust;;0.0054;0.0667;1;45;9;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;Zurich;Corporate Trust;;0;0;0;;;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;tg_11b748fc-0b8b-48e1-a16d-16ea7e404329
2026-07-17;ADAC;Customer Excellence;;0.0179;0.0769;5;85;2;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;ARAG;Customer Excellence;;0.0143;0.0769;4;57;5;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;AXA;Customer Excellence;;0.0215;0.1538;6;62;4.5;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Allianz;Customer Excellence;;0.2366;0.8846;66;58;2.9;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Alte Leipziger;Customer Excellence;;0.0108;0.0769;3;60;4;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Barmenia;Customer Excellence;;0.0108;0.0769;3;49;5.5;kw_0e2665be-83a3-4949-82da-c819c80811eb;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;CosmosDirekt;Customer Excellence;;0.0824;0.4615;23;58;5.2;kw_416a8247-b080-4eab-b6c8-321a4b64165d;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;DA Direkt;Customer Excellence;;0.0251;0.1538;7;60;4.8;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;DEVK;Customer Excellence;;0.0251;0.1923;7;59;5.4;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;DKV;Customer Excellence;;0;0;0;;;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Debeka;Customer Excellence;;0.0358;0.1538;10;58;5.3;kw_f2523300-5701-448f-bdc2-826cacdc7496;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Die Bayerische;Customer Excellence;;0;0;0;;;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;ERGO;Customer Excellence;;0.0108;0.0769;3;58;5.5;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;tg_13d6c670-21d8-4c39-83e5-497106565f73
