zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-06-20_2026-07-19;HUK24;Sterbegeld;AI Mode;grounded;0.0411;0.0194;114;49;2.8;37;900;-2.4028472900390625;83;103;37;kw_7e2e6111-4157-448c-9353-8c478a0c8711;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-1
2026-06-20_2026-07-19;HDI;Hausrat;AI Mode;grounded;0.0411;0.0156;99;52;3.5;37;900;2.634765625;65;131;37;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-1
2026-06-20_2026-07-19;Generali;Hausrat;Gemini;grounded;0.04;0.0141;48;49;5.4;36;900;-0.866119384765625;36;189;35;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-2
2026-06-20_2026-07-19;Generali;Berufsunfähigkeit;AI Mode;grounded;0.04;0.0108;58;48;5.6;36;900;-2.4847869873046875;55;189;34;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-20_2026-07-19;ADAC;Corporate;AI Overview;grounded;0.0367;0.0079;47;62;4.6;36;982;10.902961730957031;45;181;39;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-20_2026-07-19;WGV;Unfall;AI Overview;grounded;0.0438;0.0145;44;60;3.9;36;821;8.443084716796875;44;139;36;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;to_36268653-52e5-4a61-80ff-efa9980c3019;google-0
2026-06-20_2026-07-19;AXA;Unfall;AI Overview;grounded;0.0438;0.0141;43;50;4.3;36;821;0.261962890625;38;156;36;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;to_36268653-52e5-4a61-80ff-efa9980c3019;google-0
2026-06-20_2026-07-19;ERGO;Kfz;AI Overview;grounded;0.0425;0.0079;43;54;6.6;36;847;3.3246612548828125;39;243;37;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-06-20_2026-07-19;Zurich;Berufsunfähigkeit;Gemini;grounded;0.04;0.011;40;50;6.6;36;900;-0.1723480224609375;36;238;36;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-2
2026-06-20_2026-07-19;Barmenia;Risikoleben;Gemini;grounded;0.0389;0.0112;39;70;5.2;35;900;14.08935546875;36;182;35;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-06-20_2026-07-19;Generali;Berufsunfähigkeit;AI Overview;grounded;0.0411;0.0113;35;56;7.3;35;851;3.9560546875;31;226;31;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-0
2026-06-20_2026-07-19;ADAC;Corporate;ChatGPT;ui_mixed;0.0324;0.0052;83;58;5.6;35;1080;12.022262573242188;71;217;39;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;Gothaer;Berufsunfähigkeit;ChatGPT;ui_mixed;0.0389;0.0101;50;56;7;35;900;5.009962037205696;43;232;33;kw_37880128-3d28-46fe-9f61-d6c869e2d032;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-20_2026-07-19;Gothaer;Zahnzusatz;AI Overview;grounded;0.0467;0.0134;36;56;6.8;35;750;4.4051361083984375;36;238;35;kw_37880128-3d28-46fe-9f61-d6c869e2d032;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-0
2026-06-20_2026-07-19;Hannoversche;Corporate;AI Overview;grounded;0.0356;0.008;48;63;4.1;35;982;11.414199829101562;43;142;35;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-20_2026-07-19;Signal Iduna;Haftpflicht;Gemini;grounded;0.0389;0.0094;36;51;6.6;35;900;0.48834228515625;36;232;35;kw_80da741d-9a64-4086-95c0-eb9701df02f8;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-06-20_2026-07-19;Signal Iduna;Haftpflicht;ChatGPT;ui_mixed;0.0389;0.0089;44;47;6.8;35;900;-2.2875747680664062;43;238;35;kw_80da741d-9a64-4086-95c0-eb9701df02f8;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;openai-0
2026-06-20_2026-07-19;Zurich;Berufsunfähigkeit;AI Overview;grounded;0.0411;0.0158;49;50;4.5;35;851;0.268096923828125;40;158;35;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-0
2026-06-20_2026-07-19;DA Direkt;Hausrat;ChatGPT;ui_mixed;0.0378;0.0125;53;52;4.4;34;900;2.4435653686523438;51;148;34;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
2026-06-20_2026-07-19;HanseMerkur;Corporate;Gemini;grounded;0.0315;0.0049;55;60;6.3;34;1080;7.49200439453125;37;215;34;kw_b1155354-e344-4376-96a5-8ca40a83f686;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-20_2026-07-19;HDI;Haftpflicht;AI Overview;grounded;0.0422;0.0126;40;55;4.3;34;805;3.7772216796875;36;143;33;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-0
2026-06-20_2026-07-19;HDI;Wohngebäude;AI Mode;grounded;0.0378;0.0222;105;48;2.7;34;900;-3.1879043579101562;87;96;35;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-1
2026-06-20_2026-07-19;R+V;Krankenhauszusatz;AI Mode;grounded;0.0378;0.0103;54;48;3.8;34;900;-1.7560043334960938;41;130;34;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;to_35c4f140-3751-464e-898f-4a180d9dede7;google-1
2026-06-20_2026-07-19;R+V;Berufsunfähigkeit;AI Mode;grounded;0.0378;0.0099;53;50;5.5;34;900;0.43198394775390625;47;187;34;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-20_2026-07-19;Die Bayerische;Risikoleben;AI Mode;grounded;0.0378;0.0119;73;44;2.5;34;900;-4.3236846923828125;39;85;34;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-06-20_2026-07-19;Debeka;Haftpflicht;ChatGPT;ui_mixed;0.0378;0.0075;37;50;5.5;34;900;-0.07257080078125;37;187;34;kw_f2523300-5701-448f-bdc2-826cacdc7496;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;openai-0
2026-06-20_2026-07-19;Generali;Unfall;Gemini;grounded;0.0367;0.0128;40;44;6.5;33;900;-3.700927734375;33;209;32;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;to_36268653-52e5-4a61-80ff-efa9980c3019;google-2
2026-06-20_2026-07-19;Signal Iduna;Zahnzusatz;Gemini;grounded;0.0379;0.009;34;48;6.2;33;870;-1.114715576171875;33;206;33;kw_80da741d-9a64-4086-95c0-eb9701df02f8;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-2
2026-06-20_2026-07-19;HanseMerkur;Haftpflicht;AI Overview;grounded;0.041;0.0123;39;50;3.8;33;805;-0.050018310546875;36;127;33;kw_b1155354-e344-4376-96a5-8ca40a83f686;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-0
2026-06-20_2026-07-19;HDI;Haftpflicht;Gemini;grounded;0.0367;0.0091;35;48;7.3;33;900;-1.4426116943359375;33;241;33;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-06-20_2026-07-19;R+V;Sterbegeld;AI Overview;grounded;0.0405;0.0143;40;52;3.8;33;815;1.57940673828125;36;124;33;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-0
2026-06-20_2026-07-19;Debeka;Sterbegeld;AI Mode;grounded;0.0367;0.0109;64;52;8.6;33;900;2.770477294921875;64;285;33;kw_f2523300-5701-448f-bdc2-826cacdc7496;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-1
2026-06-20_2026-07-19;Debeka;Wohngebäude;ChatGPT;ui_mixed;0.0367;0.0119;58;57;4;33;900;7.583946228027344;55;132;33;kw_f2523300-5701-448f-bdc2-826cacdc7496;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-06-20_2026-07-19;Generali;Wohngebäude;Gemini;grounded;0.0356;0.0093;32;47;6.9;32;900;-1.654541015625;31;215;31;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-2
2026-06-20_2026-07-19;DEVK;Sterbegeld;AI Overview;grounded;0.0393;0.0143;40;52;3.7;32;815;1.084136962890625;36;119;32;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-0
2026-06-20_2026-07-19;WGV;Corporate;ChatGPT;ui_mixed;0.0296;0.0041;65;59;6.8;32;1080;7.494842529296875;42;219;32;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;Hannoversche;Unfall;AI Overview;grounded;0.039;0.0122;37;53;3.4;32;821;2.2720489501953125;33;105;31;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;to_36268653-52e5-4a61-80ff-efa9980c3019;google-0
2026-06-20_2026-07-19;CosmosDirekt;Berufsunfähigkeit;ChatGPT;ui_mixed;0.0356;0.0097;48;56;6;32;900;5.523689270019531;48;193;32;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-20_2026-07-19;HUK24;Sterbegeld;AI Overview;grounded;0.0393;0.0143;40;53;3.2;32;815;1.718017578125;34;100;31;kw_7e2e6111-4157-448c-9353-8c478a0c8711;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-0
2026-06-20_2026-07-19;Signal Iduna;Corporate;AI Overview;grounded;0.0326;0.0069;41;60;5.7;32;982;7.4393310546875;38;188;33;kw_80da741d-9a64-4086-95c0-eb9701df02f8;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-20_2026-07-19;VHV;Hausrat;AI Overview;grounded;0.0393;0.013;37;49;4.1;32;815;-0.5034637451171875;34;136;33;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-0
2026-06-20_2026-07-19;HDI;Hausrat;ChatGPT;ui_mixed;0.0356;0.0113;48;54;6.5;32;900;3.53143310546875;44;221;34;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
2026-06-20_2026-07-19;Debeka;Berufsunfähigkeit;AI Overview;grounded;0.0376;0.011;34;51;5;32;851;0.8336181640625;33;160;32;kw_f2523300-5701-448f-bdc2-826cacdc7496;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-0
2026-06-20_2026-07-19;HUK-Coburg;Berufsunfähigkeit;ChatGPT;ui_mixed;0.0356;0.0081;40;54;6.2;32;900;2.965240478515625;38;186;30;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-20_2026-07-19;ARAG;Wohngebäude;AI Mode;grounded;0.0344;0.0093;44;55;5.7;31;900;3.25341796875;33;164;29;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-1
2026-06-20_2026-07-19;DEVK;Unfall;AI Overview;grounded;0.0378;0.0118;36;52;4.8;31;821;1.2967529296875;33;148;31;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;to_36268653-52e5-4a61-80ff-efa9980c3019;google-0
2026-06-20_2026-07-19;AXA;Zahnzusatz;AI Overview;grounded;0.0413;0.0123;33;53;5;31;750;1.8482208251953125;33;155;31;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-0
2026-06-20_2026-07-19;AXA;Rechtsschutz;AI Overview;grounded;0.0366;0.0106;37;50;2.9;31;848;0.276092529296875;35;91;31;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;to_7c373751-e069-4d80-a80f-2b38f3200230;google-0
2026-06-20_2026-07-19;Alte Leipziger;Wohngebäude;AI Overview;grounded;0.0373;0.0127;33;56;4.1;31;832;3.6464080810546875;33;128;31;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-0
2026-06-20_2026-07-19;Württembergische;Corporate;ChatGPT;ui_mixed;0.0287;0.0027;43;52;9.6;31;1080;1.8654708862304688;40;306;32;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;HanseMerkur;Kfz;AI Mode;grounded;0.0344;0.0092;88;46;4;31;900;-4.4796600341796875;57;124;31;kw_b1155354-e344-4376-96a5-8ca40a83f686;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-20_2026-07-19;VHV;Risikoleben;Gemini;grounded;0.0344;0.0098;34;59;5.4;31;900;4.4628143310546875;26;136;25;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-06-20_2026-07-19;R+V;Unfall;AI Overview;grounded;0.0378;0.0112;34;56;6.7;31;821;4.1605072021484375;34;208;31;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;to_36268653-52e5-4a61-80ff-efa9980c3019;google-0
2026-06-20_2026-07-19;Die Bayerische;Wohngebäude;ChatGPT;ui_mixed;0.0344;0.0084;41;54;5.1;31;900;3.597625732421875;41;158;31;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-06-20_2026-07-19;Zurich;Kfz;Gemini;grounded;0.0344;0.0051;33;47;5.6;31;900;-1.6733245849609375;26;146;26;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-20_2026-07-19;Zurich;Wohngebäude;ChatGPT;ui_mixed;0.0344;0.0093;45;52;4.6;31;900;1.8850555419921875;44;146;32;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-06-20_2026-07-19;Barmenia;Unfall;AI Mode;grounded;0.0333;0.0048;34;50;5.9;30;900;-0.2292938232421875;30;177;30;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_36268653-52e5-4a61-80ff-efa9980c3019;google-1
2026-06-20_2026-07-19;ARAG;Corporate;Gemini;grounded;0.0278;0.0056;63;62;6.5;30;1080;9.108627319335938;39;196;30;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-20_2026-07-19;DA Direkt;Krankenhauszusatz;AI Mode;grounded;0.0333;0.0175;92;49;3.8;30;900;-1.4740066528320312;69;102;27;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;to_35c4f140-3751-464e-898f-4a180d9dede7;google-1
2026-06-20_2026-07-19;AXA;Sterbegeld;ChatGPT;ui_mixed;0.0333;0.0147;45;55;4.5;30;900;3.8544387817382812;40;130;29;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
