zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-07-11_2026-08-09;Allianz;Kfz;ChatGPT;ui_mixed;0.9577;0.161;2757;53;2.9;1132;1182;177.02654647827148;2821;3644;1241;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-07-11_2026-08-09;HUK-Coburg;Kfz;ChatGPT;ui_mixed;0.9306;0.2349;4022;53;2.8;1100;1182;228.9630057811737;3606;4652;1659;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-07-11_2026-08-09;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.9051;0.2669;3209;55;2;1078;1191;278.51465375721455;2992;2141;1082;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-07-11_2026-08-09;HUK-Coburg;Kfz;Gemini;grounded;0.901;0.2832;3500;52;3.2;1065;1182;91.68163299560547;2858;6257;1948;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-07-11_2026-08-09;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.9039;0.2281;2337;53;1.8;1063;1176;129.52037048339844;2244;1957;1061;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-07-11_2026-08-09;HUK-Coburg;Kfz;AI Mode;grounded;0.8985;0.203;3869;51;2.8;1062;1182;40.48218536376953;2606;4953;1765;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-07-11_2026-08-09;ARAG;Rechtsschutz;Gemini;grounded;0.869;0.2261;1994;53;2.8;1035;1191;95.62244415283203;1658;2912;1036;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-07-11_2026-08-09;HUK-Coburg;Kfz;AI Overview;grounded;0.9074;0.2805;2650;54;2.6;1029;1134;202.3680191040039;2307;4151;1582;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-07-11_2026-08-09;Allianz;Kfz;Gemini;grounded;0.8672;0.174;2151;53;4.1;1025;1182;100.55037689208984;1991;5352;1317;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-07-11_2026-08-09;Allianz;Corporate;ChatGPT;ui_mixed;0.9435;0.2174;3782;55;2.1;1019;1080;313.76134490966797;3353;2237;1084;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-07-11_2026-08-09;Allianz;Kfz;AI Mode;grounded;0.8528;0.1464;2789;53;3.7;1008;1182;134.15167999267578;2230;4351;1185;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-07-11_2026-08-09;Allianz;Zahnzusatz;AI Mode;grounded;0.841;0.2138;2914;53;2.7;989;1176;146.0110855102539;2267;2652;989;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-1
