zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-08-22_2026-09-20;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.9437;0.2329;5763;53;2.7;1189;1260;320.6739959716797;4971;3231;1205;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-08-22_2026-09-20;ARAG;Rechtsschutz;Gemini;grounded;0.9222;0.2168;1971;52;2.6;1162;1260;61.129425048828125;1698;3025;1164;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-08-22_2026-09-20;Allianz;Kfz;ChatGPT;ui_mixed;0.9198;0.1478;4283;52;4.5;1159;1260;206.321209192276;4210;6667;1467;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-08-22_2026-09-20;HUK24;Kfz;Gemini;grounded;0.8984;0.1455;1927;51;3;1132;1260;46.963836669921875;1713;3329;1115;kw_a0454bcf-ab56-49f2-be73-30bcdd057ce9;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-08-22_2026-09-20;Allianz;Kfz;Gemini;grounded;0.8937;0.1649;2185;51;4;1126;1260;49.2471923828125;2230;5976;1501;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-08-22_2026-09-20;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.877;0.2054;4820;52;2.4;1105;1260;185.90305638313293;4253;2618;1110;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-08-22_2026-09-20;ARAG;Rechtsschutz;AI Mode;grounded;0.8746;0.2193;2173;53;2.6;1102;1260;91.5607681274414;1650;2870;1097;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
2026-08-22_2026-09-20;HUK-Coburg;Kfz;AI Mode;grounded;0.8635;0.147;1937;50;3;1088;1260;5.453117370605469;1458;3491;1150;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-08-22_2026-09-20;Barmenia;Krankenhauszusatz;Gemini;grounded;0.8619;0.1822;1517;53;3;1086;1260;83.21830749511719;1429;3187;1078;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
2026-08-22_2026-09-20;ARAG;Rechtsschutz;AI Overview;grounded;0.8996;0.219;2155;51;3.1;1075;1195;20.737716674804688;1929;3332;1077;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-0
2026-08-22_2026-09-20;Allianz;Sterbegeld;ChatGPT;ui_mixed;0.8389;0.2232;4034;52;2.1;1057;1260;131.23450469970703;3558;2274;1060;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
2026-08-22_2026-09-20;HUK-Coburg;Kfz;Gemini;grounded;0.8325;0.1282;1698;51;3.3;1049;1260;28.101791381835938;1389;3487;1068;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-08-22_2026-09-20;Allianz;Kfz;AI Mode;grounded;0.8294;0.1483;1955;50;4;1045;1260;3.455322265625;1765;5156;1295;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-08-22_2026-09-20;Allianz;Berufsunfähigkeit;ChatGPT;ui_mixed;0.8135;0.167;4214;52;3.2;1025;1260;147.24150848388672;3835;3291;1027;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-08-22_2026-09-20;HUK24;Kfz;AI Mode;grounded;0.8103;0.134;1766;50;2.8;1021;1260;2.7816009521484375;1397;2852;1009;kw_a0454bcf-ab56-49f2-be73-30bcdd057ce9;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-08-22_2026-09-20;Allianz;Risikoleben;ChatGPT;ui_mixed;0.8032;0.1376;3445;51;3.7;1012;1260;71.39525043219328;3077;3751;1017;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;openai-0
2026-08-22_2026-09-20;HUK-Coburg;Kfz;AI Overview;grounded;0.853;0.1393;1783;50;2.9;1004;1177;4.441070556640625;1432;2966;1021;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-08-22_2026-09-20;HUK24;Kfz;AI Overview;grounded;0.8369;0.1478;1892;51;3.1;985;1177;21.052047729492188;1739;3013;978;kw_a0454bcf-ab56-49f2-be73-30bcdd057ce9;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-08-22_2026-09-20;Allianz;Kfz;AI Overview;grounded;0.8326;0.1463;1873;51;3.8;980;1177;46.43433380126953;1862;4806;1261;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-08-22_2026-09-20;HUK24;Kfz;ChatGPT;ui_mixed;0.7746;0.1324;3835;53;3.8;976;1260;167.33771514892578;3156;3673;979;kw_a0454bcf-ab56-49f2-be73-30bcdd057ce9;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-08-22_2026-09-20;Allianz;Wohngebäude;AI Mode;grounded;0.773;0.176;1512;49;2.5;974;1260;-28.220306396484375;1306;2454;1001;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-1
2026-08-22_2026-09-20;Alte Leipziger;Berufsunfähigkeit;ChatGPT;ui_mixed;0.7675;0.1274;3216;49;3.9;967;1260;-78.13642883300781;3034;3764;974;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-08-22_2026-09-20;LV 1871;Berufsunfähigkeit;ChatGPT;ui_mixed;0.7619;0.1384;3492;52;4.1;960;1260;126.0315170288086;3119;3912;962;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-08-22_2026-09-20;Alte Leipziger;Berufsunfähigkeit;Gemini;grounded;0.7563;0.1297;1128;51;2.9;953;1260;22.981552124023438;1097;2689;943;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-2
2026-08-22_2026-09-20;CosmosDirekt;Risikoleben;AI Overview;grounded;0.7911;0.1525;1508;51;2.7;947;1197;18.76445770263672;1441;2530;947;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-0
2026-08-22_2026-09-20;Allianz;Risikoleben;AI Overview;grounded;0.7878;0.149;1473;50;3.6;943;1197;13.2864990234375;1350;3566;986;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-0
2026-08-22_2026-09-20;Haftpflichtkasse;Haftpflicht;Gemini;grounded;0.7437;0.1219;1241;51;4.2;937;1260;16.3359375;1613;5571;1323;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-08-22_2026-09-20;Hannoversche;Risikoleben;Gemini;grounded;0.7397;0.1455;1290;50;2.4;932;1260;5.1009979248046875;1220;2258;926;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-08-22_2026-09-20;Allianz;Corporate;ChatGPT;ui_mixed;0.8593;0.2215;4780;55;2.6;928;1080;389.4544143676758;4090;2648;1005;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-08-22_2026-09-20;Allianz;Wohngebäude;Gemini;grounded;0.7341;0.1554;1301;51;3.2;925;1260;20.22918701171875;1215;2943;933;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-2
2026-08-22_2026-09-20;ERGO;Krankenhauszusatz;ChatGPT;ui_mixed;0.7333;0.436;8924;51;2.6;924;1260;165.45282745361328;6736;2466;945;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_35c4f140-3751-464e-898f-4a180d9dede7;openai-0
2026-08-22_2026-09-20;Allianz;Corporate;Gemini;grounded;0.8537;0.2475;2326;54;2.6;922;1080;115.51514434814453;1570;2609;1013;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-08-22_2026-09-20;Allianz;Hausrat;ChatGPT;ui_mixed;0.7299;0.159;3174;52;3.2;919;1259;87.31634140014648;2840;3088;959;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
2026-08-22_2026-09-20;Allianz;Wohngebäude;ChatGPT;ui_mixed;0.727;0.147;3506;52;2.9;916;1260;98.5450439453125;3083;2658;923;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-08-22_2026-09-20;Barmenia;Krankenhauszusatz;AI Mode;grounded;0.723;0.1505;1312;55;3.9;911;1260;107.70945739746094;1178;3519;913;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;google-1
2026-08-22_2026-09-20;ERGO;Sterbegeld;ChatGPT;ui_mixed;0.723;0.4436;8018;50;2.5;911;1260;25.937698364257812;6243;2388;938;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
2026-08-22_2026-09-20;Hannoversche;Risikoleben;AI Mode;grounded;0.7222;0.1453;1360;52;2.4;910;1260;45.15899658203125;1151;2216;914;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-08-22_2026-09-20;Allianz;Risikoleben;Gemini;grounded;0.7214;0.137;1214;50;4.2;909;1260;8.426856994628906;1138;3929;934;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-08-22_2026-09-20;Allianz;Corporate;AI Mode;grounded;0.837;0.2754;2640;53;2.3;904;1080;99.34439849853516;1534;2291;978;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-08-22_2026-09-20;Barmenia;Krankenhauszusatz;ChatGPT;ui_mixed;0.7095;0.1614;3303;54;4.7;894;1260;218.68943786621094;3068;4233;898;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;openai-0
2026-08-22_2026-09-20;Allianz;Sterbegeld;AI Overview;grounded;0.7553;0.19;1458;48;2.7;889;1177;-44.023895263671875;1333;2373;890;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-0
2026-08-22_2026-09-20;Allianz;Corporate;AI Overview;grounded;0.8702;0.266;2742;54;2.6;885;1017;163.2115249633789;2105;2665;1022;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
