zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-07-04_2026-08-02;Allianz;Kfz;ChatGPT;ui_mixed;0.9536;0.1667;2303;54;2.8;1047;1098;179.220055;2386;3186;1140;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-07-04_2026-08-02;Allianz;Corporate;ChatGPT;ui_mixed;0.938;0.2147;3701;55;2;1013;1080;311.221031;3256;2147;1078;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-07-04_2026-08-02;HUK-Coburg;Kfz;ChatGPT;ui_mixed;0.9199;0.2384;3294;54;2.7;1010;1098;217.749878;3003;4134;1515;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-07-04_2026-08-02;Allianz;Corporate;AI Mode;grounded;0.9028;0.2724;3538;53;2.3;975;1080;137.554565;2128;2430;1065;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-07-04_2026-08-02;HUK-Coburg;Kfz;Gemini;grounded;0.8807;0.2956;3210;52;3.1;967;1098;84.20195;2588;5571;1782;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-07-04_2026-08-02;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.8846;0.2405;1896;53;1.8;966;1092;104.960175;1846;1781;964;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-07-04_2026-08-02;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.8654;0.2835;2574;55;2;958;1107;253.387685;2421;1869;958;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-07-04_2026-08-02;Allianz;Kfz;Gemini;grounded;0.8616;0.1851;2010;53;4;946;1098;95.247963;1828;4941;1223;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-07-04_2026-08-02;HUK-Coburg;Kfz;AI Overview;grounded;0.8947;0.2914;2386;55;2.5;943;1054;195.427628;2112;3759;1482;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-07-04_2026-08-02;HUK-Coburg;Kfz;AI Mode;grounded;0.8552;0.1961;3478;52;2.8;939;1098;72.349541;2346;4171;1494;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-07-04_2026-08-02;ARAG;Rechtsschutz;Gemini;grounded;0.8365;0.2514;1898;53;2.9;926;1107;85.810738;1528;2660;924;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-07-04_2026-08-02;Allianz;Kfz;AI Mode;grounded;0.8297;0.148;2624;54;3.4;911;1098;157.575356;2146;3585;1054;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-07-04_2026-08-02;Allianz;Zahnzusatz;AI Mode;grounded;0.8168;0.2357;3003;54;2.5;892;1092;180.072433;2382;2256;892;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-1
2026-07-04_2026-08-02;Allianz;Corporate;Gemini;grounded;0.8185;0.2516;2842;53;2.7;884;1080;95.133194;1543;2643;977;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-07-04_2026-08-02;Allianz;Corporate;AI Overview;grounded;0.8681;0.2959;1959;58;1.8;875;1008;244.956825;1541;1662;943;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-07-04_2026-08-02;Barmenia;Krankenhauszusatz;Gemini;grounded;0.7412;0.1865;1250;55;3.1;825;1113;119.576561;1131;2541;823;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
2026-07-04_2026-08-02;Allianz;Wohngebäude;ChatGPT;ui_mixed;0.7416;0.1624;1566;51;2.1;821;1107;20.912277;1545;1722;821;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-07-04_2026-08-02;Haftpflichtkasse;Haftpflicht;Gemini;grounded;0.7357;0.1404;1120;54;3.4;821;1116;82.474274;964;2808;815;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-07-04_2026-08-02;Allianz;Haftpflicht;AI Mode;grounded;0.733;0.1471;2087;51;3.4;818;1116;46.780365;1763;2929;860;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-1
2026-07-04_2026-08-02;Allianz;Risikoleben;AI Mode;grounded;0.7227;0.1513;2050;52;2.9;800;1107;64.574226;1668;2400;833;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-07-04_2026-08-02;Allianz;Berufsunfähigkeit;ChatGPT;ui_mixed;0.7048;0.1608;1534;51;2.9;795;1128;21.428163;1501;2318;791;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-07-04_2026-08-02;Allianz;Sterbegeld;ChatGPT;ui_mixed;0.7144;0.2334;1449;52;1.8;793;1110;58.100052;1407;1410;791;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
2026-07-04_2026-08-02;Allianz;Hausrat;ChatGPT;ui_mixed;0.7129;0.1859;1515;52;2.3;787;1104;57.594704;1475;1849;795;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
2026-07-04_2026-08-02;Allianz;Berufsunfähigkeit;AI Mode;grounded;0.6906;0.1626;1965;51;3.1;779;1128;39.457603;1548;2427;780;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-07-04_2026-08-02;Allianz;Zahnzusatz;AI Overview;grounded;0.7973;0.2645;1312;53;2;779;977;66.831055;1202;1572;779;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-0
2026-07-04_2026-08-02;Allianz;Wohngebäude;AI Mode;grounded;0.7028;0.1911;2074;52;2.7;778;1107;76.0914;1700;2102;792;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-1
2026-07-04_2026-08-02;ARAG;Rechtsschutz;AI Overview;grounded;0.7374;0.24;1359;55;2.3;775;1051;123.444183;1243;1812;774;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-0
2026-07-04_2026-08-02;Allianz;Kfz;AI Overview;grounded;0.7296;0.1694;1387;55;3;769;1054;121.442245;1248;2586;855;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
