zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-07-18_2026-08-16;Allianz;Kfz;ChatGPT;ui_mixed;0.9542;0.1559;3570;53;3.3;1208;1266;208.22591084241867;3602;4544;1376;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-07-18_2026-08-16;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.9302;0.2534;4395;54;2.1;1186;1275;300.97275644540787;3986;2530;1196;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-07-18_2026-08-16;HUK-Coburg;Kfz;ChatGPT;ui_mixed;0.9344;0.2408;5514;53;3;1183;1266;243.85171341896057;4808;5476;1850;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-07-18_2026-08-16;HUK-Coburg;Kfz;Gemini;grounded;0.9289;0.2743;3864;52;3.2;1176;1266;100.19391632080078;3157;6877;2128;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-07-18_2026-08-16;HUK-Coburg;Kfz;AI Mode;grounded;0.9242;0.2075;4148;51;2.8;1170;1266;60.39948272705078;2830;5527;1992;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-07-18_2026-08-16;ARAG;Rechtsschutz;Gemini;grounded;0.9075;0.2109;2161;53;2.7;1157;1275;100.68020629882812;1819;3141;1159;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-07-18_2026-08-16;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.9;0.2189;3248;53;2;1134;1260;166.9763948470354;3011;2261;1135;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-07-18_2026-08-16;Allianz;Kfz;Gemini;grounded;0.8831;0.1665;2345;52;4.1;1118;1266;103.42720031738281;2177;5713;1410;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-07-18_2026-08-16;Allianz;Kfz;AI Mode;grounded;0.8689;0.1452;2902;53;3.8;1100;1266;144.6519775390625;2306;4846;1288;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-07-18_2026-08-16;HUK-Coburg;Kfz;AI Overview;grounded;0.9075;0.2752;2871;54;2.6;1099;1211;201.96695709228516;2501;4465;1703;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-07-18_2026-08-16;Allianz;Zahnzusatz;AI Mode;grounded;0.8548;0.2001;2893;53;2.8;1077;1260;153.1995849609375;2284;2991;1077;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-1
2026-07-18_2026-08-16;Barmenia;Krankenhauszusatz;Gemini;grounded;0.8244;0.1743;1552;54;3.1;1056;1281;117.22831726074219;1452;3284;1056;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
2026-07-18_2026-08-16;Allianz;Berufsunfähigkeit;ChatGPT;ui_mixed;0.7971;0.1513;2659;51;3.2;1033;1296;42.930379301309586;2521;3323;1037;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-07-18_2026-08-16;Allianz;Sterbegeld;ChatGPT;ui_mixed;0.8075;0.2311;2845;52;1.9;1032;1278;129.13908457756042;2620;1982;1032;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
2026-07-18_2026-08-16;Allianz;Wohngebäude;ChatGPT;ui_mixed;0.7953;0.1561;2638;51;2.3;1014;1275;26.973847091197968;2449;2373;1019;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-07-18_2026-08-16;Allianz;Corporate;ChatGPT;ui_mixed;0.9343;0.2188;4081;55;2.3;1009;1080;351.15387320518494;3630;2457;1080;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-07-18_2026-08-16;ARAG;Rechtsschutz;AI Overview;grounded;0.8243;0.2288;1815;54;2.5;1004;1218;141.2102508544922;1680;2522;1002;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-0
2026-07-18_2026-08-16;Allianz;Risikoleben;AI Mode;grounded;0.7686;0.1342;2120;52;3.4;980;1275;74.8929214477539;1732;3411;1010;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-07-18_2026-08-16;Allianz;Risikoleben;ChatGPT;ui_mixed;0.7663;0.1374;2389;51;3.4;977;1275;49.964361660182476;2238;3370;979;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;openai-0
2026-07-18_2026-08-16;Alte Leipziger;Berufsunfähigkeit;Gemini;grounded;0.7515;0.1309;1244;53;3;974;1296;81.50050354003906;1187;2864;966;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-2
2026-07-18_2026-08-16;ARAG;Rechtsschutz;AI Mode;grounded;0.7631;0.1456;2260;52;3.2;973;1275;77.24768829345703;1665;3181;980;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
2026-07-18_2026-08-16;Alte Leipziger;Berufsunfähigkeit;ChatGPT;ui_mixed;0.7477;0.1426;2507;46;3.2;969;1296;-205.02317774295807;2424;3083;973;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-07-18_2026-08-16;Allianz;Wohngebäude;AI Mode;grounded;0.7545;0.1693;2141;52;2.7;962;1275;72.47074890136719;1744;2677;982;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-1
2026-07-18_2026-08-16;Allianz;Hausrat;ChatGPT;ui_mixed;0.7506;0.1624;2474;52;2.7;954;1271;78.87163835763931;2342;2584;975;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
2026-07-18_2026-08-16;Allianz;Risikoleben;Gemini;grounded;0.7443;0.1414;1341;51;4.4;949;1275;32.72938537597656;1232;4257;972;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-07-18_2026-08-16;Allianz;Corporate;AI Mode;grounded;0.8741;0.277;3299;54;2.4;944;1080;136.42381286621094;1945;2506;1045;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
