zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-08-01_2026-08-30;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.9508;0.2434;5769;53;2.4;1198;1260;311.9389505982399;5060;2915;1215;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-08-01_2026-08-30;Allianz;Kfz;ChatGPT;ui_mixed;0.9452;0.1513;4327;53;4;1191;1260;238.0907170176506;4176;5625;1424;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-08-01_2026-08-30;ARAG;Rechtsschutz;Gemini;grounded;0.9151;0.2075;2008;52;2.5;1153;1260;78.2767105102539;1716;2908;1154;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-08-01_2026-08-30;ARAG;Rechtsschutz;AI Mode;grounded;0.9016;0.2128;2258;52;2.9;1136;1260;59.88609313964844;1626;3353;1138;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
2026-08-01_2026-08-30;HUK-Coburg;Kfz;AI Mode;grounded;0.9008;0.1456;2099;49;2.7;1135;1260;-20.466140747070312;1350;3115;1141;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-08-01_2026-08-30;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.8984;0.2158;4548;52;2.2;1132;1260;200.69819970428944;4028;2468;1135;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-08-01_2026-08-30;HUK24;Kfz;Gemini;grounded;0.8833;0.144;1960;52;3;1113;1260;51.02166748046875;1660;3181;1052;kw_a0454bcf-ab56-49f2-be73-30bcdd057ce9;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-08-01_2026-08-30;Allianz;Kfz;Gemini;grounded;0.881;0.1598;2175;52;3.9;1110;1260;65.7873764038086;2067;5339;1372;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-08-01_2026-08-30;Allianz;Kfz;AI Mode;grounded;0.8595;0.1533;2210;49;4;1083;1260;-19.417007446289062;1646;5092;1287;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-08-01_2026-08-30;Barmenia;Krankenhauszusatz;Gemini;grounded;0.854;0.1806;1547;53;3.1;1076;1260;99.3333740234375;1449;3291;1073;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
