zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-06-18_2026-07-17;ADAC;Berufsunfähigkeit;AI Mode;grounded;0;0;0;;;0;900;;;;;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-18_2026-07-17;ADAC;Berufsunfähigkeit;AI Overview;grounded;0.0012;0.0003;1;40;6;1;851;-0.19049072265625;1;6;1;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-0
2026-06-18_2026-07-17;ADAC;Berufsunfähigkeit;ChatGPT;ui_mixed;0;0;0;;;0;900;;;;;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-18_2026-07-17;ADAC;Berufsunfähigkeit;Gemini;grounded;0;0;0;;;0;900;;;;;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-2
2026-06-18_2026-07-17;ADAC;Corporate;AI Mode;grounded;0.1056;0.0204;240;61;4.8;114;1080;33.205047607421875;146;530;110;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-06-18_2026-07-17;ADAC;Corporate;AI Overview;grounded;0.0399;0.0087;52;62;4.6;39;977;11.769500732421875;49;193;42;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-18_2026-07-17;ADAC;Corporate;ChatGPT;ui_mixed;0.0343;0.0055;88;60;5.6;37;1080;14.3914794921875;72;228;41;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-18_2026-07-17;ADAC;Corporate;Gemini;grounded;0.0454;0.0098;111;52;5.3;49;1080;1.711669921875;57;268;51;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-18_2026-07-17;ADAC;Haftpflicht;AI Mode;grounded;0.05;0.0146;96;51;6.3;45;900;0.719818115234375;47;188;30;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-1
2026-06-18_2026-07-17;ADAC;Haftpflicht;AI Overview;grounded;0.0074;0.0019;6;49;3.7;6;807;-0.04290771484375;3;11;3;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-0
2026-06-18_2026-07-17;ADAC;Haftpflicht;ChatGPT;ui_mixed;0.0122;0.0039;20;56;5.4;11;900;1.5568389892578125;14;49;9;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;openai-0
2026-06-18_2026-07-17;ADAC;Haftpflicht;Gemini;grounded;0.0167;0.0049;19;49;7.7;15;900;-0.1973419189453125;14;100;13;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-06-18_2026-07-17;ADAC;Hausrat;AI Mode;grounded;0.0856;0.0414;255;48;3.3;77;900;-4.756660461425781;102;160;48;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-1
2026-06-18_2026-07-17;ADAC;Hausrat;AI Overview;grounded;0.0234;0.0065;19;47;2.3;19;812;-0.8441619873046875;13;30;13;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-0
2026-06-18_2026-07-17;ADAC;Hausrat;ChatGPT;ui_mixed;0.1156;0.0311;136;52;3.1;104;900;4.121604919433594;120;311;100;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
