zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-06-30_2026-07-29;Allianz;Corporate;ChatGPT;ui_mixed;0.9352;0.2144;3705;55;2;1010;1080;323.0065689086914;3211;2142;1078;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-30_2026-07-29;Allianz;Kfz;ChatGPT;ui_mixed;0.9457;0.1696;2107;54;2.8;993;1050;183.49978637695312;2165;2982;1071;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-06-30_2026-07-29;Allianz;Corporate;AI Mode;grounded;0.9028;0.273;3537;53;2.2;975;1080;127.400390625;2114;2379;1062;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-06-30_2026-07-29;HUK-Coburg;Kfz;ChatGPT;ui_mixed;0.9152;0.2436;3027;54;2.7;961;1050;235.0069808959961;2757;3877;1436;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-06-30_2026-07-29;HUK-Coburg;Kfz;Gemini;grounded;0.8724;0.3057;3055;52;3.1;916;1050;75.30650329589844;2451;5278;1700;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-30_2026-07-29;Allianz;Kfz;Gemini;grounded;0.8543;0.1911;1910;53;4.1;897;1050;94.21978759765625;1721;4744;1171;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-30_2026-07-29;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.8836;0.2471;1713;53;1.8;896;1014;104.93224334716797;1662;1629;894;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-06-30_2026-07-29;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.8423;0.2967;2352;56;1.9;892;1059;244.4239251166582;2209;1728;892;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-06-30_2026-07-29;Allianz;Corporate;Gemini;grounded;0.8259;0.2511;2942;53;2.7;892;1080;81.54691314697266;1551;2705;984;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-30_2026-07-29;HUK-Coburg;Kfz;AI Overview;grounded;0.8893;0.3002;2222;55;2.5;884;994;188.64925384521484;1973;3580;1409;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-06-30_2026-07-29;Allianz;Corporate;AI Overview;grounded;0.8828;0.2962;1930;58;1.8;881;998;243.08921813964844;1505;1692;956;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-30_2026-07-29;HUK-Coburg;Kfz;AI Mode;grounded;0.8295;0.1987;3216;52;2.8;871;1050;67.65044403076172;2174;3820;1363;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-30_2026-07-29;ARAG;Rechtsschutz;Gemini;grounded;0.813;0.2676;1823;53;2.9;861;1059;83.89678192138672;1437;2508;858;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-06-30_2026-07-29;Allianz;Kfz;AI Mode;grounded;0.8105;0.1494;2417;54;3.3;851;1050;142.9946517944336;1987;3209;975;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-30_2026-07-29;Allianz;Zahnzusatz;AI Mode;grounded;0.8018;0.2496;2816;54;2.5;813;1014;178.5897445678711;2228;2010;813;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-1
2026-06-30_2026-07-29;Haftpflichtkasse;Haftpflicht;Gemini;grounded;0.7472;0.1468;1079;55;3.5;798;1068;94.32890319824219;927;2746;792;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-06-30_2026-07-29;Barmenia;Krankenhauszusatz;Gemini;grounded;0.7286;0.1924;1199;56;3;776;1065;124.92204284667969;1070;2340;773;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
2026-06-30_2026-07-29;Allianz;Haftpflicht;AI Mode;grounded;0.7163;0.1504;1931;51;3.2;765;1068;30.499832153320312;1646;2566;796;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-1
2026-06-30_2026-07-29;Allianz;Wohngebäude;ChatGPT;ui_mixed;0.712;0.1651;1384;51;2;754;1059;31.036453247070312;1359;1520;753;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-06-30_2026-07-29;Allianz;Risikoleben;AI Mode;grounded;0.7054;0.16;1931;52;2.8;747;1059;61.608734130859375;1586;2211;780;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-06-30_2026-07-29;Allianz;Kfz;AI Overview;grounded;0.7455;0.1788;1323;55;3;741;994;120.5932846069336;1181;2453;822;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-06-30_2026-07-29;Allianz;Hausrat;ChatGPT;ui_mixed;0.6979;0.1952;1394;52;2.3;737;1056;54.17962646484375;1349;1716;745;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
2026-06-30_2026-07-29;Allianz;Sterbegeld;ChatGPT;ui_mixed;0.6836;0.2429;1310;52;1.8;726;1062;50.62995147705078;1272;1307;724;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
2026-06-30_2026-07-29;Allianz;Wohngebäude;AI Mode;grounded;0.6827;0.2024;1979;52;2.6;723;1059;69.06891632080078;1631;1929;736;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-1
2026-06-30_2026-07-29;Allianz;Zahnzusatz;AI Overview;grounded;0.806;0.2757;1173;53;2;723;897;63.657936096191406;1070;1454;723;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-0
2026-06-30_2026-07-29;Allianz;Berufsunfähigkeit;ChatGPT;ui_mixed;0.6685;0.1638;1356;51;2.9;722;1080;22.672584861516953;1326;2044;716;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-30_2026-07-29;Allianz;Risikoleben;ChatGPT;ui_mixed;0.6714;0.1641;1321;51;2.9;711;1059;22.70787811279297;1299;2103;713;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;openai-0
2026-06-30_2026-07-29;Allianz;Zahnzusatz;Gemini;grounded;0.7002;0.1768;996;53;3.4;710;1014;48.75554656982422;905;2430;707;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-2
2026-06-30_2026-07-29;ARAG;Rechtsschutz;AI Overview;grounded;0.714;0.2429;1230;55;2.3;709;993;112.8399887084961;1119;1639;709;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-0
2026-06-30_2026-07-29;Allianz;Berufsunfähigkeit;AI Mode;grounded;0.6556;0.169;1828;51;3.1;708;1080;42.493309020996094;1436;2180;710;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-30_2026-07-29;Allianz;Haftpflicht;ChatGPT;ui_mixed;0.6601;0.1426;1265;52;3;705;1068;55.371734976768494;1249;2135;709;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;openai-0
2026-06-30_2026-07-29;R+V;Corporate;ChatGPT;ui_mixed;0.6463;0.1012;1749;56;4.6;698;1080;161.2430648803711;1349;3253;714;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-30_2026-07-29;ERGO;Krankenhauszusatz;ChatGPT;ui_mixed;0.6516;0.3616;2480;53;2.5;694;1065;106.82736206054688;1835;1671;659;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_35c4f140-3751-464e-898f-4a180d9dede7;openai-0
2026-06-30_2026-07-29;HUK-Coburg;Corporate;ChatGPT;ui_mixed;0.6417;0.1264;2183;53;4.2;693;1080;102.45201110839844;1833;3322;793;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-30_2026-07-29;HUK-Coburg;Haftpflicht;AI Mode;grounded;0.6414;0.1421;1825;51;3.2;685;1068;20.197296142578125;1354;2869;894;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-1
2026-06-30_2026-07-29;Barmenia;Zahnzusatz;Gemini;grounded;0.6736;0.1681;947;53;3.4;683;1014;59.30400848388672;875;2302;683;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-2
2026-06-30_2026-07-29;Alte Leipziger;Berufsunfähigkeit;Gemini;grounded;0.6287;0.1504;916;56;2.8;679;1080;99.09027862548828;836;1932;679;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-2
2026-06-30_2026-07-29;Allianz;Wohngebäude;Gemini;grounded;0.6393;0.1755;1042;52;3.1;677;1059;28.801055908203125;902;2094;686;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-2
2026-06-30_2026-07-29;Haftpflichtkasse;Haftpflicht;ChatGPT;ui_mixed;0.6339;0.1509;1338;50;3.9;677;1068;-12.592514038085938;1272;2636;669;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;openai-0
2026-06-30_2026-07-29;Allianz;Unfall;AI Mode;grounded;0.6419;0.1701;2143;52;2.4;674;1050;73.1324234008789;1618;1616;683;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_36268653-52e5-4a61-80ff-efa9980c3019;google-1
2026-06-30_2026-07-29;HUK-Coburg;Corporate;AI Mode;grounded;0.6241;0.1274;1651;55;3.5;674;1080;95.05542755126953;1028;2887;821;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-06-30_2026-07-29;LV 1871;Berufsunfähigkeit;Gemini;grounded;0.6148;0.1555;947;56;3.4;664;1080;98.53274536132812;837;2233;663;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-2
2026-06-30_2026-07-29;Allianz;Risikoleben;Gemini;grounded;0.6185;0.149;919;52;4.5;655;1059;31.481475830078125;846;3059;676;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-06-30_2026-07-29;CosmosDirekt;Kfz;Gemini;grounded;0.619;0.0814;814;56;5;650;1050;85.15229797363281;765;3248;650;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-30_2026-07-29;Allianz;Hausrat;AI Mode;grounded;0.6127;0.1504;1682;52;3;647;1056;45.59996032714844;1345;2049;675;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-1
2026-06-30_2026-07-29;Allianz;Unfall;ChatGPT;ui_mixed;0.6162;0.1513;1167;52;2.5;647;1050;41.844749450683594;1145;1592;648;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_36268653-52e5-4a61-80ff-efa9980c3019;openai-0
2026-06-30_2026-07-29;Allianz;Risikoleben;AI Overview;grounded;0.6592;0.1805;988;54;2.6;644;977;79.91169738769531;888;1708;647;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-0
2026-06-30_2026-07-29;Allianz;Sterbegeld;AI Mode;grounded;0.6008;0.1935;1998;50;2.8;638;1062;3.5709228515625;1518;1774;638;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-1
2026-06-30_2026-07-29;HDI;Berufsunfähigkeit;ChatGPT;ui_mixed;0.588;0.155;1283;51;3.7;635;1080;17.72432678937912;1260;2317;630;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-30_2026-07-29;HUK-Coburg;Hausrat;Gemini;grounded;0.5928;0.2189;1369;54;4;626;1056;90.78106689453125;1182;4169;1038;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-2
2026-06-30_2026-07-29;Hannoversche;Risikoleben;AI Overview;grounded;0.6397;0.1767;967;56;2.1;625;977;110.6536865234375;875;1316;623;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-0
2026-06-30_2026-07-29;Hannoversche;Risikoleben;ChatGPT;ui_mixed;0.5826;0.1438;1158;50;3;617;1059;5.397590637207031;1133;1867;618;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;openai-0
2026-06-30_2026-07-29;CosmosDirekt;Risikoleben;Gemini;grounded;0.5817;0.132;814;54;3;616;1059;58.018043518066406;774;1844;615;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-06-30_2026-07-29;Allianz;Wohngebäude;AI Overview;grounded;0.6256;0.247;914;54;1.9;615;983;68.6143798828125;844;1144;618;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-0
2026-06-30_2026-07-29;HUK-Coburg;Haftpflicht;Gemini;grounded;0.5758;0.1865;1371;54;4.7;615;1068;104.20042419433594;1210;4898;1041;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-06-30_2026-07-29;Alte Leipziger;Berufsunfähigkeit;AI Mode;grounded;0.5648;0.0862;932;52;3.2;610;1080;29.282974243164062;869;1936;610;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-30_2026-07-29;Alte Leipziger;Berufsunfähigkeit;ChatGPT;ui_mixed;0.563;0.1485;1229;44;2.8;608;1080;-138.68393656611443;1204;1670;602;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-30_2026-07-29;Hannoversche;Risikoleben;Gemini;grounded;0.5722;0.1331;821;53;2.7;606;1059;51.69313049316406;790;1645;606;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-06-30_2026-07-29;HUK-Coburg;Corporate;Gemini;grounded;0.5611;0.1639;1920;50;4.4;606;1080;6.405250549316406;1194;4021;912;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-30_2026-07-29;ERGO;Krankenhauszusatz;AI Mode;grounded;0.5671;0.3451;4038;52;3.3;604;1065;45.281005859375;1492;1786;539;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_35c4f140-3751-464e-898f-4a180d9dede7;google-1
2026-06-30_2026-07-29;ARAG;Rechtsschutz;AI Mode;grounded;0.5666;0.1373;1726;52;3;600;1059;55.86803436279297;1282;1806;604;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
2026-06-30_2026-07-29;ERGO;Krankenhauszusatz;Gemini;grounded;0.5502;0.2849;1775;54;3.6;586;1065;83.01078033447266;972;1792;499;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
2026-06-30_2026-07-29;HUK-Coburg;Hausrat;AI Mode;grounded;0.5549;0.1323;1480;50;3.4;586;1056;1.4025344848632812;1094;2508;740;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-1
2026-06-30_2026-07-29;Barmenia;Krankenhauszusatz;ChatGPT;ui_mixed;0.5484;0.1702;1167;54;4.2;584;1065;91.87371063232422;1135;2408;578;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;openai-0
2026-06-30_2026-07-29;CosmosDirekt;Kfz;AI Overview;grounded;0.5875;0.1207;893;58;3.3;584;994;121.65987396240234;783;1948;586;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-06-30_2026-07-29;Allianz;Berufsunfähigkeit;Gemini;grounded;0.538;0.1295;789;54;4.3;581;1080;60.85033416748047;690;2507;581;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-2
2026-06-30_2026-07-29;CosmosDirekt;Risikoleben;AI Mode;grounded;0.5467;0.1263;1525;53;3.5;579;1059;72.34078216552734;1098;2329;662;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-06-30_2026-07-29;CosmosDirekt;Risikoleben;AI Overview;grounded;0.5916;0.1732;948;57;2.4;578;977;107.03221893310547;823;1422;581;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-0
2026-06-30_2026-07-29;HUK-Coburg;Rechtsschutz;Gemini;grounded;0.5439;0.1472;1003;57;4.3;576;1059;123.92190551757812;828;3068;707;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-06-30_2026-07-29;WGV;Rechtsschutz;Gemini;grounded;0.542;0.1325;903;59;3.3;574;1059;146.35570526123047;804;1880;573;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-06-30_2026-07-29;HUK-Coburg;Rechtsschutz;AI Mode;grounded;0.5354;0.1298;1631;55;3.3;567;1059;115.514892578125;1068;2031;619;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
2026-06-30_2026-07-29;ADAC;Kfz;AI Mode;grounded;0.539;0.1251;2025;56;3.4;566;1050;171.0135040283203;1364;1873;543;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-30_2026-07-29;LV 1871;Berufsunfähigkeit;AI Mode;grounded;0.5231;0.0958;1036;53;4;565;1080;50.76544952392578;856;2264;565;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-30_2026-07-29;Allianz;Sterbegeld;AI Overview;grounded;0.5802;0.2223;926;51;2.2;564;972;12.469413757324219;814;1245;563;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;google-0
2026-06-30_2026-07-29;Allianz;Hausrat;AI Overview;grounded;0.5785;0.1967;844;52;2.4;564;975;32.20117950439453;764;1366;577;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-0
2026-06-30_2026-07-29;AXA;Haftpflicht;AI Mode;grounded;0.5281;0.1088;1397;49;4;564;1068;-24.51287841796875;1124;2384;591;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-1
2026-06-30_2026-07-29;HUK-Coburg;Haftpflicht;ChatGPT;ui_mixed;0.5281;0.1511;1340;52;3.8;564;1068;49.37144470214844;1253;2567;680;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;openai-0
2026-06-30_2026-07-29;Allianz;Rechtsschutz;AI Mode;grounded;0.5316;0.1198;1506;51;3.6;563;1059;32.39868927001953;1137;2045;561;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
